artist_id,artist_name,genres,folowers,popularity
3bBb1wCpTPxl3KRfb2UbJb,Mike Vallas,['austrian pop'],6609,28
59XQUEHhy5830QsAsmhe2M,Silent Child,['dark r&b'],52655,53
619CzMJPPWrCeZwx5qw6ko,Besomorph,"['alt z', 'dark r&b', 'slap house', 'traprun']",127095,62
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"['dance pop', 'pop']",28940444,87
1igl9M102nuD96lo3ZoW5d,Thutmose,['indie pop rap'],88214,53
6iwiojh0ap3ta48Y96mIw6,Sean&Bobo,[],12995,27
7xX15v6ahAkcT14kHfB9wB,True Damage,['k-rap'],124264,46
4dM6NDYSfLcspt8GLoT5aE,Hippie Sabotage,"['edm', 'electronic trap']",945222,67
4aN7T7NNFFMRJgVbRPne8q,Bohnes,"['dark r&b', 'rebel blues']",210377,57
4ZgQDCtRqZlhLswVS6MHN4,grandson,"['modern alternative rock', 'modern rock', 'rock']",1126489,64
50tDsT4wwq8FCMJNkn1D67,AViVA,"['alt z', 'vapor pop']",473830,58
4zjO8Jhi2pciJJzd8Q6rga,Unlike Pluto,['la pop'],360851,60
2MGT7CYlixSPxAnnkhLpaA,Next,"['boy band', 'contemporary r&b', 'minneapolis sound', 'new jack swing', 'r&b', 'urban contemporary']",1160611,56
1s5ZfyjywLsAr7PY4pmldn,updog,"['dark r&b', 'weirdcore']",33360,46
6aJRwrwfOffz7RMh2Cfm8e,Jacob Tillberg,['meme'],49290,46
1YznSk5tLLp9BnzuNgghrZ,8 Graves,['rebel blues'],124872,43
59mjRp0i1B8oWSSMmGWJlJ,Ansel Elgort,"['post-teen pop', 'teen pop']",684724,47
7nJNuftnqwrFGFs3ZRRe0u,MEMBA,"['indian edm', 'traprun', 'vapor twitch']",87207,51
6Ad91Jof8Niiw0lGLLi3NW,YUNGBLUD,"['british indie rock', 'modern rock', 'pov: indie', 'rock']",2238357,68
1lpYFtlybuldYAw2IyXjyI,Sangarang,[],4664,18
3NPpFNZtSTHheNBaWC82rB,X Ambassadors,"['modern alternative rock', 'modern rock', 'stomp pop']",2959948,71
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",16710924,84
02ZtVIjKL1PYLlMmP1sz0h,Layton Greene,['pop r&b'],487085,55
6ioOEWNNGK40H8xrGj6XPW,XYLØ,"['alt z', 'indie poptimism', 'la pop']",363573,48
6hV6oxGLeLFw17DGjIPkYD,Cosmo Sheldrake,"['pov: indie', 'uk pop']",307237,56
5bgfj5zUoWpyeVatGDjn6H,K CAMP,"['atl hip hop', 'melodic rap', 'southern hip hop', 'trap']",1654235,59
1l9d7B8W0IHy3LqWsxP2SH,Phantogram,"['indietronica', 'metropopolis', 'neo-synthpop']",811194,64
3MZsBdqDrRTJihTHQrO6Dq,Joji,['viral pop'],9330232,78
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap']",13519791,82
7d3WFRME3vBY2cgoP38RDo,Lil Skies,['melodic rap'],4973631,68
1XwAo9UCt90soyw5V7U6LV,Alexander Lewis,['bass trap'],20072,42
3uwAm6vQy7kWPS2bciKWx9,girl in red,"['bedroom pop', 'indie pop', 'norwegian indie', 'pov: indie']",6980007,74
7uaIm6Pw7xplS8Dy06V6pT,Trevor Daniel,['melodic rap'],804350,63
6MJKlN8ya42Agsw3iQZs6e,French 79,"['french indie pop', 'french indietronica']",211069,58
7Eu1txygG6nJttLHbZdQOh,Four Tet,"['electronica', 'folktronica', 'indietronica', 'intelligent dance music', 'trip hop']",705462,62
49gaZqfow2v8EEQmjGyEIw,Todd Terje,"['balearic', 'electronica', 'filter house', 'indietronica', 'norwegian space disco', 'nu disco']",245510,44
7EV6jW6dotBdvsHj6xPixi,The Divine Comedy,"['baroque pop', 'britpop', 'chamber pop', 'melancholia']",144290,43
6DCIj8jNaNpBz8e5oKFPtp,The Cars,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock', 'singer-songwriter', 'soft rock', 'synthpop']",1759031,65
